date,close,N_price
2021/3/24,17120,17.12
2021/3/25,17090,17.09
2021/3/26,17425,17.425
2021/3/29,17425,17.425
2021/3/30,17370,17.37
2021/3/31,17200,17.2
2021/4/1,17440,17.44
2021/4/2,17505,17.505
2021/4/6,17530,17.53
2021/4/7,17460,17.46
2021/4/8,17535,17.535
2021/4/9,17500,17.5
2021/4/12,17390,17.39
2021/4/13,17750,17.75
2021/4/14,17885,17.885
2021/4/15,18425,18.425
2021/4/16,18005,18.005
2021/4/19,18220,18.22
2021/4/20,18095,18.095
2021/4/21,18010,18.01
2021/4/22,18095,18.095
2021/4/23,18340,18.34
2021/4/26,18355,18.355
2021/4/27,18595,18.595
2021/4/28,18480,18.48
2021/4/29,18860,18.86
2021/4/30,19000,19
2021/5/6,19330,19.33
2021/5/7,19850,19.85
2021/5/10,20400,20.4
2021/5/11,19915,19.915
2021/5/12,19980,19.98
2021/5/13,19645,19.645
2021/5/14,19350,19.35
2021/5/17,19690,19.69
2021/5/18,19715,19.715
2021/5/19,19290,19.29
2021/5/20,19125,19.125
2021/5/21,18715,18.715
2021/5/24,18110,18.11
2021/5/25,18395,18.395
2021/5/26,18235,18.235
2021/5/27,18500,18.5
2021/5/28,18675,18.675
2021/5/31,18790,18.79
2021/6/1,18880,18.88
2021/6/2,18610,18.61
2021/6/3,18440,18.44
2021/6/4,18310,18.31
2021/6/7,18455,18.455
2021/6/8,18285,18.285
2021/6/9,18410,18.41
2021/6/10,18460,18.46
2021/6/11,19185,19.185
2021/6/15,19100,19.1
2021/6/16,18590,18.59
2021/6/17,18690,18.69
2021/6/18,18380,18.38
2021/6/21,18280,18.28
2021/6/22,18625,18.625
2021/6/23,18725,18.725
2021/6/24,18650,18.65
2021/6/25,18945,18.945
2021/6/28,18890,18.89
2021/6/29,18805,18.805
2021/6/30,18805,18.805
2021/7/1,18640,18.64
2021/7/2,18890,18.89
2021/7/5,19230,19.23
2021/7/6,19125,19.125
2021/7/7,18945,18.945
2021/7/8,18790,18.79
2021/7/9,18900,18.9
2021/7/12,19075,19.075
2021/7/13,19280,19.28
2021/7/14,19460,19.46
2021/7/15,19375,19.375
2021/7/16,19470,19.47
2021/7/19,19275,19.275
2021/7/20,19075,19.075
2021/7/21,18875,18.875
2021/7/22,19120,19.12
2021/7/23,19340,19.34
2021/7/26,19520,19.52
2021/7/27,19515,19.515
2021/7/28,19360,19.36
2021/7/29,19660,19.66
2021/7/30,20075,20.075
2021/8/2,19935,19.935
2021/8/3,19740,19.74
2021/8/4,19770,19.77
2021/8/5,19780,19.78
2021/8/6,19940,19.94
2021/8/9,19920,19.92
2021/8/10,19935,19.935
2021/8/11,20095,20.095
2021/8/12,20100,20.1
2021/8/13,20105,20.105
2021/8/16,20180,20.18
2021/8/17,20515,20.515
2021/8/18,20190,20.19
2021/8/19,19955,19.955
2021/8/20,20115,20.115
2021/8/23,20370,20.37
2021/8/24,20415,20.415
2021/8/25,20590,20.59
2021/8/26,20410,20.41
2021/8/27,20895,20.895
2021/8/30,21505,21.505
2021/8/31,21400,21.4
2021/9/1,21105,21.105
2021/9/2,21475,21.475
2021/9/3,21280,21.28
2021/9/6,21815,21.815
2021/9/7,21810,21.81
2021/9/8,22040,22.04
2021/9/9,22525,22.525
2021/9/10,22730,22.73
2021/9/13,23690,23.69
2021/9/14,22480,22.48
2021/9/15,22490,22.49
2021/9/16,22495,22.495
2021/9/17,22610,22.61
2021/9/22,23080,23.08
2021/9/23,23500,23.5
2021/9/24,23115,23.115
2021/9/27,22760,22.76
2021/9/28,22680,22.68
2021/9/29,22900,22.9
2021/9/30,22630,22.63
2021/10/8,22835,22.835
2021/10/11,23125,23.125
2021/10/12,23525,23.525
2021/10/13,23655,23.655
2021/10/14,23700,23.7
2021/10/15,24300,24.3
2021/10/18,24695,24.695
2021/10/19,24340,24.34
2021/10/20,22805,22.805
2021/10/21,22900,22.9
2021/10/22,21540,21.54
2021/10/25,21630,21.63
2021/10/26,21200,21.2
2021/10/27,20115,20.115
2021/10/28,19890,19.89
